
신제품검색 키워드그룹 : 최근낙찰가
조회일자:20260203

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,거실가구,1인용리클라이너,360000
가구/인테리어,거실가구,1인용쇼파,960000
가구/인테리어,거실가구,3인용쇼파,670000
가구/인테리어,거실가구,4인용쇼파,380000
가구/인테리어,거실가구,TV다이,360000
가구/인테리어,거실가구,가죽쇼파,700000
가구/인테리어,거실가구,거실장,420000
가구/인테리어,거실가구,거실테이블,550000
가구/인테리어,거실가구,리클라이너,500000
가구/인테리어,거실가구,리클라이너쇼파,570000
가구/인테리어,거실가구,모듈쇼파,170000
가구/인테리어,거실가구,모션쇼파,150000
가구/인테리어,거실가구,사이드테이블,380000
가구/인테리어,거실가구,쇼파,2210000
가구/인테리어,거실가구,스툴,300000
가구/인테리어,거실가구,원목의자,150000
가구/인테리어,거실가구,원목테이블,160000
가구/인테리어,거실가구,테이블,320000
가구/인테리어,거실가구,패브릭쇼파,340000
가구/인테리어,서재가구,3단서랍장,200000
가구/인테리어,서재가구,게이밍의자,635000
가구/인테리어,서재가구,모션데스크,700000
가구/인테리어,서재가구,발받침대,230000
가구/인테리어,서재가구,사무용의자,290000
가구/인테리어,서재가구,스탠딩책상,110000
가구/인테리어,서재가구,아크릴가림막,100000
가구/인테리어,서재가구,원목책상,110000
가구/인테리어,서재가구,의자,840000
가구/인테리어,서재가구,자세교정의자,100000
가구/인테리어,서재가구,좌식의자,290000
가구/인테리어,서재가구,책상,1100000
가구/인테리어,서재가구,책상서랍장,100000
가구/인테리어,서재가구,책상세트,100000
가구/인테리어,서재가구,책상의자,340000
가구/인테리어,서재가구,책장,810000
가구/인테리어,서재가구,컴퓨터의자,615000
가구/인테리어,서재가구,컴퓨터책상,710000
가구/인테리어,서재가구,학생의자,130000
가구/인테리어,서재가구,학생책상,100000
가구/인테리어,서재가구,회전책장,470000
가구/인테리어,수납가구,로봇청소기수납장,180000
가구/인테리어,수납가구,선반,550000
가구/인테리어,수납가구,세탁기선반,100000
가구/인테리어,수납가구,수납장,730000
가구/인테리어,수납가구,스탠드옷걸이,440000
가구/인테리어,수납가구,시스템행거,750000
가구/인테리어,수납가구,옷걸이봉,190000
가구/인테리어,수납가구,옷걸이행거,320000
가구/인테리어,수납가구,이동식행거,260000
가구/인테리어,수납가구,철제선반,350000
가구/인테리어,수납가구,행거,1330000
가구/인테리어,아동가구,아기쇼파,170000
가구/인테리어,아동가구,아기식탁의자,140000
가구/인테리어,아동가구,아기옷장,180000
가구/인테리어,아동가구,아기의자,250000
가구/인테리어,아동가구,아기침대,860000
가구/인테리어,아동가구,어린이책상,210000
가구/인테리어,아동가구,어린이침대,150000
가구/인테리어,아동가구,유아책장,100000
가구/인테리어,아동가구,유아침대,100000
가구/인테리어,아동가구,초등학생책상,350000
가구/인테리어,아동가구,하이체어,310000
가구/인테리어,인테리어소품,LED벽시계,130000
가구/인테리어,인테리어소품,LED시계,140000
가구/인테리어,인테리어소품,가림막커튼,250000
가구/인테리어,인테리어소품,거실러그,230000
가구/인테리어,인테리어소품,거실매트,380000
가구/인테리어,인테리어소품,거실커튼,470000
가구/인테리어,인테리어소품,규조토발매트,260000
가구/인테리어,인테리어소품,등받이쿠션,390000
가구/인테리어,인테리어소품,러그,680000
가구/인테리어,인테리어소품,롤매트,200000
가구/인테리어,인테리어소품,롤스크린,100000
가구/인테리어,인테리어소품,무소음벽시계,140000
가구/인테리어,인테리어소품,발매트,410000
가구/인테리어,인테리어소품,방석,350000
가구/인테리어,인테리어소품,방풍커튼,430000
가구/인테리어,인테리어소품,방한커튼,370000
가구/인테리어,인테리어소품,벽시계,770000
가구/인테리어,인테리어소품,블라인드,3260000
가구/인테리어,인테리어소품,쇼파쿠션,200000
가구/인테리어,인테리어소품,쇼파패드,250000
가구/인테리어,인테리어소품,쉬폰커튼,320000
가구/인테리어,인테리어소품,식물등,190000
가구/인테리어,인테리어소품,쓰레기통,310000
가구/인테리어,인테리어소품,암막블라인드,290000
가구/인테리어,인테리어소품,암막커튼,1090000
가구/인테리어,인테리어소품,액자,390000
가구/인테리어,인테리어소품,오로라무드등,100000
가구/인테리어,인테리어소품,우드블라인드,200000
가구/인테리어,인테리어소품,인센스스틱,220000
가구/인테리어,인테리어소품,인테리어그림,310000
가구/인테리어,인테리어소품,주방매트,390000
가구/인테리어,인테리어소품,차르르커튼,100000
가구/인테리어,인테리어소품,층간소음매트,670000
가구/인테리어,인테리어소품,캔들워머,170000
가구/인테리어,인테리어소품,커튼,1271000
가구/인테리어,인테리어소품,커튼봉,190000
가구/인테리어,인테리어소품,콤비블라인드,100000
가구/인테리어,인테리어소품,탁상시계,240000
가구/인테리어,인테리어소품,파티션,670000
가구/인테리어,인테리어소품,허니콤블라인드,110000
가구/인테리어,인테리어소품,휴지통,200000
가구/인테리어,인테리어자재,ABS도어,100000
가구/인테리어,인테리어자재,인조잔디,160000
가구/인테리어,인테리어자재,중문,740000
가구/인테리어,조명,LED등,290000
가구/인테리어,조명,LED방등,130000
가구/인테리어,조명,LED전구,210000
가구/인테리어,조명,무드등,380000
가구/인테리어,조명,무선센서등,100000
가구/인테리어,조명,무선스탠드,100000
가구/인테리어,조명,센서등,300000
가구/인테리어,조명,수유등,110000
가구/인테리어,조명,스탠드,560000
가구/인테리어,조명,장스탠드,150000
가구/인테리어,조명,전구,190000
가구/인테리어,조명,책상스탠드,120000
가구/인테리어,주방가구,2인용식탁,260000
가구/인테리어,주방가구,4인식탁세트,130000
가구/인테리어,주방가구,4인용식탁,440000
가구/인테리어,주방가구,6인식탁세트,140000
가구/인테리어,주방가구,6인용식탁,440000
가구/인테리어,주방가구,렌지대,410000
가구/인테리어,주방가구,세라믹식탁,450000
가구/인테리어,주방가구,식탁,1000000
가구/인테리어,주방가구,식탁세트,100000
가구/인테리어,주방가구,식탁의자,920000
가구/인테리어,주방가구,싱크볼,330000
가구/인테리어,주방가구,우드슬랩식탁,100000
가구/인테리어,주방가구,원목식탁,230000
가구/인테리어,주방가구,주방수납장,460000
가구/인테리어,주방가구,카페테이블,100000
가구/인테리어,침구,가을이불,100000
가구/인테리어,침구,거북목베개,100000
가구/인테리어,침구,겨울이불,410000
가구/인테리어,침구,경추베개,670000
가구/인테리어,침구,구스이불,420000
가구/인테리어,침구,극세사이불,440000
가구/인테리어,침구,극세사패드,100000
가구/인테리어,침구,낮잠이불,390000
가구/인테리어,침구,냉감이불,100000
가구/인테리어,침구,담요,530000
가구/인테리어,침구,라텍스베개,130000
가구/인테리어,침구,매트리스커버,300000
가구/인테리어,침구,메모리폼베개,130000
가구/인테리어,침구,메모리폼토퍼,100000
가구/인테리어,침구,모달이불,260000
가구/인테리어,침구,바디필로우,510000
가구/인테리어,침구,베개,2900000
가구/인테리어,침구,베개솜,160000
가구/인테리어,침구,베개커버,590000
가구/인테리어,침구,수면베개,100000
가구/인테리어,침구,알러지케어이불,120000
가구/인테리어,침구,여름매트,100000
가구/인테리어,침구,여름베개,100000
가구/인테리어,침구,여름이불,100000
가구/인테리어,침구,여름이불세트,100000
가구/인테리어,침구,여름차렵이불,100000
가구/인테리어,침구,여름침대패드,100000
가구/인테리어,침구,여름쿨매트,100000
가구/인테리어,침구,여름토퍼,100000
가구/인테리어,침구,이불,990000
가구/인테리어,침구,이불세트,370000
가구/인테리어,침구,이불커버,230000
가구/인테리어,침구,이불패드,100000
가구/인테리어,침구,일자목베개,170000
가구/인테리어,침구,접이식토퍼,160000
가구/인테리어,침구,차렵이불,350000
가구/인테리어,침구,침대쿨매트,100000
가구/인테리어,침구,침대패드,260000
가구/인테리어,침구,쿨매트,100000
가구/인테리어,침구,쿨베개,100000
가구/인테리어,침구,토퍼,1850000
가구/인테리어,침실가구,2층침대,410000
가구/인테리어,침실가구,3단매트리스,270000
가구/인테리어,침실가구,라텍스매트리스,450000
가구/인테리어,침실가구,매트리스,1900000
가구/인테리어,침실가구,모션베드,290000
가구/인테리어,침실가구,바닥매트리스,190000
가구/인테리어,침실가구,벙커침대,550000
가구/인테리어,침실가구,붙박이장,770000
가구/인테리어,침실가구,서랍형침대,100000
가구/인테리어,침실가구,수납침대,300000
