
신제품검색 키워드그룹 : 최근낙찰가
조회일자:20260408

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,거실가구,1인용리클라이너,370000
가구/인테리어,거실가구,1인용쇼파,900000
가구/인테리어,거실가구,3인용쇼파,540000
가구/인테리어,거실가구,4인용쇼파,360000
가구/인테리어,거실가구,TV다이,320000
가구/인테리어,거실가구,가죽쇼파,490000
가구/인테리어,거실가구,거실장,360000
가구/인테리어,거실가구,거실테이블,470000
가구/인테리어,거실가구,리클라이너,450000
가구/인테리어,거실가구,리클라이너쇼파,570000
가구/인테리어,거실가구,모듈쇼파,130000
가구/인테리어,거실가구,모션쇼파,120000
가구/인테리어,거실가구,사이드테이블,340000
가구/인테리어,거실가구,쇼파,1870000
가구/인테리어,거실가구,스툴,280000
가구/인테리어,거실가구,원목의자,130000
가구/인테리어,거실가구,원목테이블,140000
가구/인테리어,거실가구,테이블,300000
가구/인테리어,거실가구,패브릭쇼파,240000
가구/인테리어,서재가구,3단서랍장,220000
가구/인테리어,서재가구,게이밍의자,440000
가구/인테리어,서재가구,모션데스크,650000
가구/인테리어,서재가구,발받침대,230000
가구/인테리어,서재가구,사무용의자,250000
가구/인테리어,서재가구,스탠딩책상,120000
가구/인테리어,서재가구,아크릴가림막,100000
가구/인테리어,서재가구,원목책상,100000
가구/인테리어,서재가구,의자,800000
가구/인테리어,서재가구,자세교정의자,100000
가구/인테리어,서재가구,좌식의자,230000
가구/인테리어,서재가구,책상,910000
가구/인테리어,서재가구,책상서랍장,100000
가구/인테리어,서재가구,책상세트,100000
가구/인테리어,서재가구,책상의자,300000
가구/인테리어,서재가구,책장,720000
가구/인테리어,서재가구,컴퓨터의자,400000
가구/인테리어,서재가구,컴퓨터책상,600000
가구/인테리어,서재가구,학생의자,110000
가구/인테리어,서재가구,학생책상,100000
가구/인테리어,서재가구,회전책장,430000
가구/인테리어,수납가구,로봇청소기수납장,160000
가구/인테리어,수납가구,선반,560000
가구/인테리어,수납가구,세탁기선반,100000
가구/인테리어,수납가구,수납장,690000
가구/인테리어,수납가구,스탠드옷걸이,390000
가구/인테리어,수납가구,시스템행거,770000
가구/인테리어,수납가구,옷걸이봉,160000
가구/인테리어,수납가구,옷걸이행거,230000
가구/인테리어,수납가구,이동식행거,170000
가구/인테리어,수납가구,철제선반,350000
가구/인테리어,수납가구,행거,1130000
가구/인테리어,아동가구,아기쇼파,150000
가구/인테리어,아동가구,아기식탁의자,130000
가구/인테리어,아동가구,아기옷장,190000
가구/인테리어,아동가구,아기의자,240000
가구/인테리어,아동가구,아기침대,810000
가구/인테리어,아동가구,어린이책상,160000
가구/인테리어,아동가구,어린이침대,130000
가구/인테리어,아동가구,유아책장,100000
가구/인테리어,아동가구,유아침대,100000
가구/인테리어,아동가구,초등학생책상,210000
가구/인테리어,아동가구,하이체어,270000
가구/인테리어,인테리어소품,LED벽시계,160000
가구/인테리어,인테리어소품,LED시계,120000
가구/인테리어,인테리어소품,가림막커튼,270000
가구/인테리어,인테리어소품,거실러그,210000
가구/인테리어,인테리어소품,거실매트,310000
가구/인테리어,인테리어소품,거실커튼,410000
가구/인테리어,인테리어소품,규조토발매트,230000
가구/인테리어,인테리어소품,등받이쿠션,270000
가구/인테리어,인테리어소품,러그,670000
가구/인테리어,인테리어소품,롤매트,160000
가구/인테리어,인테리어소품,롤스크린,100000
가구/인테리어,인테리어소품,무소음벽시계,120000
가구/인테리어,인테리어소품,발매트,340000
가구/인테리어,인테리어소품,방석,330000
가구/인테리어,인테리어소품,방풍커튼,100000
가구/인테리어,인테리어소품,방한커튼,100000
가구/인테리어,인테리어소품,벽시계,720000
가구/인테리어,인테리어소품,블라인드,2410000
가구/인테리어,인테리어소품,쇼파쿠션,200000
가구/인테리어,인테리어소품,쇼파패드,230000
가구/인테리어,인테리어소품,쉬폰커튼,310000
가구/인테리어,인테리어소품,식물등,190000
가구/인테리어,인테리어소품,쓰레기통,290000
가구/인테리어,인테리어소품,암막블라인드,320000
가구/인테리어,인테리어소품,암막커튼,870000
가구/인테리어,인테리어소품,액자,360000
가구/인테리어,인테리어소품,오로라무드등,100000
가구/인테리어,인테리어소품,우드블라인드,200000
가구/인테리어,인테리어소품,인센스스틱,170000
가구/인테리어,인테리어소품,인테리어그림,280000
가구/인테리어,인테리어소품,주방매트,270000
가구/인테리어,인테리어소품,차르르커튼,100000
가구/인테리어,인테리어소품,층간소음매트,540000
가구/인테리어,인테리어소품,캔들워머,130000
가구/인테리어,인테리어소품,커튼,1081000
가구/인테리어,인테리어소품,커튼봉,160000
가구/인테리어,인테리어소품,콤비블라인드,100000
가구/인테리어,인테리어소품,탁상시계,230000
가구/인테리어,인테리어소품,파티션,650000
가구/인테리어,인테리어소품,허니콤블라인드,110000
가구/인테리어,인테리어소품,휴지통,190000
가구/인테리어,인테리어자재,ABS도어,100000
가구/인테리어,인테리어자재,인조잔디,220000
가구/인테리어,인테리어자재,중문,570000
가구/인테리어,조명,LED등,140000
가구/인테리어,조명,LED방등,100000
가구/인테리어,조명,LED전구,180000
가구/인테리어,조명,무드등,340000
가구/인테리어,조명,무선센서등,100000
가구/인테리어,조명,무선스탠드,100000
가구/인테리어,조명,센서등,280000
가구/인테리어,조명,수유등,100000
가구/인테리어,조명,스탠드,570000
가구/인테리어,조명,장스탠드,140000
가구/인테리어,조명,전구,190000
가구/인테리어,조명,책상스탠드,130000
가구/인테리어,주방가구,2인용식탁,260000
가구/인테리어,주방가구,4인식탁세트,130000
가구/인테리어,주방가구,4인용식탁,340000
가구/인테리어,주방가구,6인식탁세트,110000
가구/인테리어,주방가구,6인용식탁,420000
가구/인테리어,주방가구,렌지대,370000
가구/인테리어,주방가구,세라믹식탁,470000
가구/인테리어,주방가구,식탁,910000
가구/인테리어,주방가구,식탁세트,100000
가구/인테리어,주방가구,식탁의자,870000
가구/인테리어,주방가구,싱크볼,300000
가구/인테리어,주방가구,우드슬랩식탁,100000
가구/인테리어,주방가구,원목식탁,190000
가구/인테리어,주방가구,주방수납장,440000
가구/인테리어,주방가구,카페테이블,100000
가구/인테리어,침구,가을이불,100000
가구/인테리어,침구,거북목베개,100000
가구/인테리어,침구,겨울이불,100000
가구/인테리어,침구,경추베개,650000
가구/인테리어,침구,구스이불,170000
가구/인테리어,침구,극세사이불,120000
가구/인테리어,침구,극세사패드,100000
가구/인테리어,침구,낮잠이불,420000
가구/인테리어,침구,냉감이불,100000
가구/인테리어,침구,담요,380000
가구/인테리어,침구,라텍스베개,120000
가구/인테리어,침구,매트리스커버,300000
가구/인테리어,침구,메모리폼베개,130000
가구/인테리어,침구,메모리폼토퍼,100000
가구/인테리어,침구,모달이불,250000
가구/인테리어,침구,바디필로우,490000
가구/인테리어,침구,베개,2590000
가구/인테리어,침구,베개솜,120000
가구/인테리어,침구,베개커버,570000
가구/인테리어,침구,수면베개,100000
가구/인테리어,침구,알러지케어이불,110000
가구/인테리어,침구,여름매트,100000
가구/인테리어,침구,여름베개,100000
가구/인테리어,침구,여름이불,140000
가구/인테리어,침구,여름이불세트,100000
가구/인테리어,침구,여름차렵이불,100000
가구/인테리어,침구,여름침대패드,100000
가구/인테리어,침구,여름쿨매트,100000
가구/인테리어,침구,여름토퍼,100000
가구/인테리어,침구,이불,850000
가구/인테리어,침구,이불세트,340000
가구/인테리어,침구,이불커버,150000
가구/인테리어,침구,이불패드,100000
가구/인테리어,침구,일자목베개,170000
가구/인테리어,침구,접이식토퍼,140000
가구/인테리어,침구,차렵이불,400000
가구/인테리어,침구,침대쿨매트,100000
가구/인테리어,침구,침대패드,280000
가구/인테리어,침구,쿨매트,170000
가구/인테리어,침구,쿨베개,100000
가구/인테리어,침구,토퍼,2250000
가구/인테리어,침실가구,2층침대,320000
가구/인테리어,침실가구,3단매트리스,210000
가구/인테리어,침실가구,라텍스매트리스,220000
가구/인테리어,침실가구,매트리스,1540000
가구/인테리어,침실가구,모션베드,320000
가구/인테리어,침실가구,바닥매트리스,120000
가구/인테리어,침실가구,벙커침대,400000
가구/인테리어,침실가구,붙박이장,660000
가구/인테리어,침실가구,서랍형침대,100000
가구/인테리어,침실가구,수납침대,260000
가구/인테리어,침실가구,수면매트,210000
가구/인테리어,침실가구,슈퍼싱글매트리스,530000
가구/인테리어,침실가구,슈퍼싱글침대,470000
가구/인테리어,침실가구,시스템옷장,220000
가구/인테리어,침실가구,싱글매트리스,250000
가구/인테리어,침실가구,싱글침대,470000
가구/인테리어,침실가구,어린이매트리스,100000
가구/인테리어,침실가구,옷장,880000
가구/인테리어,침실가구,원목침대,130000
가구/인테리어,침실가구,접이식매트리스,1350000
가구/인테리어,침실가구,침대,1420000
가구/인테리어,침실가구,침대매트리스,610000
가구/인테리어,침실가구,침대테이블,130000
가구/인테리어,침실가구,침대프레임,1020000
가구/인테리어,침실가구,콘솔,180000
가구/인테리어,침실가구,퀸매트리스,156000
가구/인테리어,침실가구,퀸침대,330000
가구/인테리어,침실가구,키즈침대,110000
가구/인테리어,침실가구,탁상거울,150000
