
서칭뷰 키워드그룹 : 최근낙찰가
조회일자:20260310

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,가구,모션데스크,370000
가구/인테리어,가구,사이드테이블,230000
가구/인테리어,가구,선반,680000
가구/인테리어,가구,소파,1280000
가구/인테리어,가구,식탁,1220000
가구/인테리어,가구,책상및책장,1490000
가구/인테리어,가구,침대및매트리스,3880000
가구/인테리어,인테리어,마루,200000
가구/인테리어,인테리어,베개,800000
가구/인테리어,인테리어,블라인드,2720000
가구/인테리어,인테리어,슬라이딩도어,210000
가구/인테리어,인테리어,어닝/파고라,200000
가구/인테리어,인테리어,인조잔디,200000
가구/인테리어,인테리어,인테리어,770000
가구/인테리어,인테리어,조명,490000
가구/인테리어,인테리어,커튼,770000
가구/인테리어,인테리어,토퍼,510000
가구/인테리어,인테리어,폴딩도어,200000
건설/부동산,건설사,건설사일반,340000
건설/부동산,주택,아파트,1390000
게임,게임,FPS,200000
게임,게임,RPG,610000
게임,게임,VR,200000
게임,게임,모바일게임,550000
게임,게임,온라인게임,760000
게임,게임기,게임기,200000
관공서/단체,단체,자선단체,630000
교육/출판,강의,고등인강,200000
교육/출판,교육기관,사이버대학교,410000
교육/출판,교육기관,학점은행제,1890000
교육/출판,도서/교재,학습지,200000
교육/출판,시험,공무원시험,1550000
교육/출판,시험,공인중개사,420000
교육/출판,시험,보육교사,320000
교육/출판,시험,사회복지사,1550000
교육/출판,시험,수능,470000
교육/출판,시험,주택관리사,260000
교육/출판,시험,청소년지도사,250000
교육/출판,시험,한국사,1210000
교육/출판,시험,한국어교원자격증,200000
교육/출판,외국어,어린이영어,200000
교육/출판,외국어,영어회화,360000
교육/출판,외국어,중국어,460000
교육/출판,외국어,화상영어,240000
금융,금융기관,증권사,5140000
금융,금융상품,간병치매보험,550000
금융,금융상품,다이렉트인보험,700000
금융,금융상품,다이렉트자동차보험,3629000
금융,금융상품,담보대출,2050000
금융,금융상품,보험일반,1277000
금융,금융상품,신용대출,460000
금융,금융상품,실비보험,570000
금융,금융상품,아이보험,650000
금융,금융상품,암보험,6673000
금융,금융상품,여행자보험,1300000
금융,금융상품,연금보험/저축,2630000
금융,금융상품,오토바이운전자보험,200000
금융,금융상품,운전자보험,2800000
금융,금융상품,유병자보험,350000
금융,금융상품,자동차보험,7041000
금융,금융상품,종신/정기보험,231000
금융,금융상품,주택보험,600000
금융,금융상품,치아보험,1650000
금융,금융상품,펫보험,450000
금융,금융서비스,가상화폐,55110000
금융,금융서비스,간편결제,200000
금융,금융서비스,자동차금융,790000
금융,금융서비스,재테크,210000
금융,금융서비스,핀테크,200000
금융,카드,신용카드,560000
기타,기타,다이어트,290000
기타,기타,창업/프랜차이즈,250000
기타,기타,카페창업,200000
기타,선물,가족선물,3610000
기타,선물,어린이선물,200000
기타,선물,크리스마스선물,200000
생활/가정,공구,멀티탭,930000
생활/가정,공구,방수,200000
생활/가정,공구,송풍기,210000
생활/가정,문구/사무용품,명함,1130000
생활/가정,문구/사무용품,사무기기,200000
생활/가정,문구/사무용품,스티커,600000
생활/가정,문구/사무용품,전자칠판,200000
생활/가정,문구/사무용품,테이블오더,220000
생활/가정,문구/사무용품,포스기,200000
생활/가정,문구/사무용품,현수막,950000
생활/가정,미용/위생용품,구강청결제,200000
생활/가정,미용/위생용품,마스크,440000
