
신제품검색 키워드그룹 : 최근낙찰가
조회일자:20251209

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,거실가구,1인용리클라이너,310000
가구/인테리어,거실가구,1인용쇼파,730000
가구/인테리어,거실가구,3인용쇼파,500000
가구/인테리어,거실가구,4인용쇼파,390000
가구/인테리어,거실가구,TV다이,350000
가구/인테리어,거실가구,가죽쇼파,470000
가구/인테리어,거실가구,거실장,380000
가구/인테리어,거실가구,거실테이블,450000
가구/인테리어,거실가구,리클라이너,340000
가구/인테리어,거실가구,리클라이너쇼파,550000
가구/인테리어,거실가구,모듈쇼파,130000
가구/인테리어,거실가구,모션쇼파,150000
가구/인테리어,거실가구,사이드테이블,330000
가구/인테리어,거실가구,쇼파,1960000
가구/인테리어,거실가구,스툴,320000
가구/인테리어,거실가구,원목의자,110000
가구/인테리어,거실가구,원목테이블,120000
가구/인테리어,거실가구,테이블,320000
가구/인테리어,거실가구,패브릭쇼파,280000
가구/인테리어,서재가구,3단서랍장,150000
가구/인테리어,서재가구,게이밍의자,410000
가구/인테리어,서재가구,모션데스크,530000
가구/인테리어,서재가구,발받침대,230000
가구/인테리어,서재가구,사무용의자,290000
가구/인테리어,서재가구,스탠딩책상,100000
가구/인테리어,서재가구,아크릴가림막,100000
가구/인테리어,서재가구,원목책상,100000
가구/인테리어,서재가구,의자,800000
가구/인테리어,서재가구,자세교정의자,100000
가구/인테리어,서재가구,좌식의자,270000
가구/인테리어,서재가구,책상,810000
가구/인테리어,서재가구,책상서랍장,100000
가구/인테리어,서재가구,책상세트,100000
가구/인테리어,서재가구,책상의자,250000
가구/인테리어,서재가구,책장,640000
가구/인테리어,서재가구,컴퓨터의자,360000
가구/인테리어,서재가구,컴퓨터책상,620000
가구/인테리어,서재가구,학생의자,100000
가구/인테리어,서재가구,학생책상,100000
가구/인테리어,서재가구,회전책장,380000
가구/인테리어,수납가구,로봇청소기수납장,160000
가구/인테리어,수납가구,선반,630000
가구/인테리어,수납가구,세탁기선반,100000
가구/인테리어,수납가구,수납장,640000
가구/인테리어,수납가구,스탠드옷걸이,450000
가구/인테리어,수납가구,시스템행거,690000
가구/인테리어,수납가구,옷걸이봉,170000
가구/인테리어,수납가구,옷걸이행거,370000
가구/인테리어,수납가구,이동식행거,320000
가구/인테리어,수납가구,철제선반,520000
가구/인테리어,수납가구,행거,1330000
가구/인테리어,아동가구,아기쇼파,180000
가구/인테리어,아동가구,아기식탁의자,140000
가구/인테리어,아동가구,아기옷장,220000
가구/인테리어,아동가구,아기의자,240000
가구/인테리어,아동가구,아기침대,780000
가구/인테리어,아동가구,어린이책상,140000
가구/인테리어,아동가구,어린이침대,140000
가구/인테리어,아동가구,유아책장,100000
가구/인테리어,아동가구,유아침대,100000
가구/인테리어,아동가구,초등학생책상,180000
가구/인테리어,아동가구,하이체어,260000
가구/인테리어,인테리어소품,LED벽시계,110000
가구/인테리어,인테리어소품,LED시계,130000
가구/인테리어,인테리어소품,가림막커튼,220000
가구/인테리어,인테리어소품,거실러그,300000
가구/인테리어,인테리어소품,거실매트,450000
가구/인테리어,인테리어소품,거실커튼,410000
가구/인테리어,인테리어소품,규조토발매트,220000
가구/인테리어,인테리어소품,등받이쿠션,250000
가구/인테리어,인테리어소품,러그,860000
가구/인테리어,인테리어소품,롤매트,260000
가구/인테리어,인테리어소품,롤스크린,110000
가구/인테리어,인테리어소품,무소음벽시계,100000
가구/인테리어,인테리어소품,발매트,400000
가구/인테리어,인테리어소품,방석,380000
가구/인테리어,인테리어소품,방풍커튼,440000
가구/인테리어,인테리어소품,방한커튼,480000
가구/인테리어,인테리어소품,벽시계,620000
가구/인테리어,인테리어소품,블라인드,3150000
가구/인테리어,인테리어소품,쇼파쿠션,180000
가구/인테리어,인테리어소품,쇼파패드,330000
가구/인테리어,인테리어소품,쉬폰커튼,320000
가구/인테리어,인테리어소품,식물등,220000
가구/인테리어,인테리어소품,쓰레기통,280000
가구/인테리어,인테리어소품,암막블라인드,240000
가구/인테리어,인테리어소품,암막커튼,1020000
가구/인테리어,인테리어소품,액자,360000
가구/인테리어,인테리어소품,오로라무드등,110000
가구/인테리어,인테리어소품,우드블라인드,170000
가구/인테리어,인테리어소품,인센스스틱,250000
가구/인테리어,인테리어소품,인테리어그림,220000
가구/인테리어,인테리어소품,주방매트,300000
가구/인테리어,인테리어소품,차르르커튼,100000
가구/인테리어,인테리어소품,층간소음매트,640000
가구/인테리어,인테리어소품,캔들워머,150000
가구/인테리어,인테리어소품,커튼,1240000
가구/인테리어,인테리어소품,커튼봉,190000
가구/인테리어,인테리어소품,콤비블라인드,110000
가구/인테리어,인테리어소품,탁상시계,360000
가구/인테리어,인테리어소품,파티션,940000
가구/인테리어,인테리어소품,허니콤블라인드,100000
가구/인테리어,인테리어소품,휴지통,200000
가구/인테리어,인테리어자재,ABS도어,100000
가구/인테리어,인테리어자재,인조잔디,410000
가구/인테리어,인테리어자재,중문,600000
가구/인테리어,조명,LED등,370000
가구/인테리어,조명,LED방등,140000
가구/인테리어,조명,LED전구,190000
가구/인테리어,조명,무드등,410000
가구/인테리어,조명,무선센서등,100000
가구/인테리어,조명,무선스탠드,100000
가구/인테리어,조명,센서등,290000
가구/인테리어,조명,수유등,110000
가구/인테리어,조명,스탠드,460000
가구/인테리어,조명,장스탠드,170000
가구/인테리어,조명,전구,220000
가구/인테리어,조명,책상스탠드,100000
가구/인테리어,주방가구,2인용식탁,240000
가구/인테리어,주방가구,4인식탁세트,100000
가구/인테리어,주방가구,4인용식탁,430000
가구/인테리어,주방가구,6인식탁세트,120000
가구/인테리어,주방가구,6인용식탁,370000
가구/인테리어,주방가구,렌지대,300000
가구/인테리어,주방가구,세라믹식탁,480000
가구/인테리어,주방가구,식탁,910000
가구/인테리어,주방가구,식탁세트,100000
가구/인테리어,주방가구,식탁의자,750000
가구/인테리어,주방가구,싱크볼,270000
가구/인테리어,주방가구,우드슬랩식탁,100000
가구/인테리어,주방가구,원목식탁,160000
가구/인테리어,주방가구,주방수납장,480000
가구/인테리어,주방가구,카페테이블,120000
가구/인테리어,침구,가을이불,100000
가구/인테리어,침구,거북목베개,200000
가구/인테리어,침구,겨울이불,840000
가구/인테리어,침구,경추베개,710000
가구/인테리어,침구,구스이불,800000
가구/인테리어,침구,극세사이불,870000
가구/인테리어,침구,극세사패드,190000
가구/인테리어,침구,낮잠이불,250000
가구/인테리어,침구,냉감이불,100000
가구/인테리어,침구,담요,870000
가구/인테리어,침구,라텍스베개,160000
가구/인테리어,침구,매트리스커버,300000
가구/인테리어,침구,메모리폼베개,120000
가구/인테리어,침구,메모리폼토퍼,100000
가구/인테리어,침구,모달이불,270000
가구/인테리어,침구,바디필로우,530000
가구/인테리어,침구,베개,2750000
가구/인테리어,침구,베개솜,130000
가구/인테리어,침구,베개커버,470000
가구/인테리어,침구,수면베개,100000
가구/인테리어,침구,알러지케어이불,150000
가구/인테리어,침구,여름매트,100000
가구/인테리어,침구,여름베개,100000
가구/인테리어,침구,여름이불,100000
가구/인테리어,침구,여름이불세트,100000
가구/인테리어,침구,여름차렵이불,100000
가구/인테리어,침구,여름침대패드,100000
가구/인테리어,침구,여름쿨매트,100000
가구/인테리어,침구,여름토퍼,100000
가구/인테리어,침구,이불,1040000
가구/인테리어,침구,이불세트,260000
가구/인테리어,침구,이불커버,270000
가구/인테리어,침구,이불패드,100000
가구/인테리어,침구,일자목베개,280000
가구/인테리어,침구,접이식토퍼,130000
가구/인테리어,침구,차렵이불,420000
가구/인테리어,침구,침대쿨매트,100000
가구/인테리어,침구,침대패드,360000
가구/인테리어,침구,쿨매트,100000
가구/인테리어,침구,쿨베개,100000
가구/인테리어,침구,토퍼,1630000
가구/인테리어,침실가구,2층침대,300000
가구/인테리어,침실가구,3단매트리스,230000
가구/인테리어,침실가구,라텍스매트리스,620000
가구/인테리어,침실가구,매트리스,1390000
가구/인테리어,침실가구,모션베드,260000
가구/인테리어,침실가구,바닥매트리스,180000
가구/인테리어,침실가구,벙커침대,440000
가구/인테리어,침실가구,붙박이장,690000
가구/인테리어,침실가구,서랍형침대,100000
가구/인테리어,침실가구,수납침대,290000
가구/인테리어,침실가구,수면매트,270000
가구/인테리어,침실가구,슈퍼싱글매트리스,370000
가구/인테리어,침실가구,슈퍼싱글침대,430000
가구/인테리어,침실가구,시스템옷장,240000
가구/인테리어,침실가구,싱글매트리스,230000
가구/인테리어,침실가구,싱글침대,440000
가구/인테리어,침실가구,어린이매트리스,100000
가구/인테리어,침실가구,옷장,910000
가구/인테리어,침실가구,원목침대,130000
가구/인테리어,침실가구,접이식매트리스,580000
가구/인테리어,침실가구,침대,1440000
가구/인테리어,침실가구,침대매트리스,480000
가구/인테리어,침실가구,침대테이블,120000
가구/인테리어,침실가구,침대프레임,930000
가구/인테리어,침실가구,콘솔,180000
가구/인테리어,침실가구,퀸매트리스,161000
가구/인테리어,침실가구,퀸침대,380000
가구/인테리어,침실가구,키즈침대,120000
가구/인테리어,침실가구,탁상거울,160000
가구/인테리어,침실가구,패밀리침대,400000
가구/인테리어,침실가구,협탁,260000
가구/인테리어,침실가구,화장대,800000
가구/인테리어,침실가구,화장대거울,120000
가구/인테리어,침실가구,화장대의자,180000
게임,게임,FPS,100000
게임,게임,MMORPG,100000
게임,게임,PC게임,100000
게임,게임,RPG,130000
게임,게임,VR게임,100000
게임,게임,게임,990000
게임,게임,모바일RPG,100000
게임,게임,모바일게임,370000
게임,게임,온라인게임,110000
교육,교육기관,사이버대학교,7000000
금융,보장성보험,1인실입원비보험,100000
금융,보장성보험,간병인보험,8830000
금융,보장성보험,강아지보험,6500000
금융,보장성보험,고양이보험,5000000
금융,보장성보험,고지혈증보험,100000
금융,보장성보험,고혈압보험,100000
금융,보장성보험,뇌혈관질환보험,100000
금융,보장성보험,다이렉트자동차보험,6740000
금융,보장성보험,당뇨보험,100000
금융,보장성보험,법인자동차보험,250000
금융,보장성보험,상해보험,380000
금융,보장성보험,아파트화재보험,871000
금융,보장성보험,암보험,35000000
금융,보장성보험,암보험비갱신형,20000000
금융,보장성보험,어린이보험,5510000
금융,보장성보험,어린이치아보험,720000
금융,보장성보험,영업용자동차보험,420000
금융,보장성보험,영업용화물차보험,100000
금융,보장성보험,오토바이보험,5100000
금융,보장성보험,오토바이운전자보험,270000
금융,보장성보험,운전자보험,28000000
금융,보장성보험,원데이자동차보험,9335000
금융,보장성보험,유병자보험,855000
금융,보장성보험,일상생활배상책임보험,491000
금융,보장성보험,임플란트보험,780000
금융,보장성보험,자동차보험,88192000
금융,보장성보험,정기보험,1090000
금융,보장성보험,종신보험,1140000
금융,보장성보험,주택화재보험,1351000
금융,보장성보험,치매보험,700000
금융,보장성보험,치아보험,28500000
금융,보장성보험,태아보험,6061000
금융,보장성보험,펫보험,24000000
금융,보장성보험,허혈성심장질환보험,100000
금융,보장성보험,홀인원보험,1210000
금융,보장성보험,화재보험,5640000
금융,보험일반,다이렉트건강보험,320000
금융,보험일반,종합보험,2201000
금융,실손의료보험,4세대실손보험,400000
금융,실손의료보험,실비보험,8210000
금융,실손의료보험,실손보험,4580000
금융,실손의료보험,유병자실비보험,680000
금융,여행자보험,국내여행자보험,100000
금융,여행자보험,단기여행자보험,600000
금융,여행자보험,여행자보험,17500000
금융,여행자보험,해외여행자보험,1100000
금융,연금,개인연금,1180000
금융,연금,연금저축,1350000
금융,예치/저축상품,예금,1530000
금융,예치/저축상품,적금,1780000
금융,예치/저축상품,정기적금,100000
금융,저축성보험,연금보험,400000
금융,저축성보험,연금저축보험,150000
금융,저축성보험,저축보험,2000000
금융,투자상품,CMA,850000
금융,투자상품,ETF,2030000
금융,투자상품,IPO,2010000
금융,투자상품,ISA,1310000
금융,투자상품,채권,440000
금융,투자상품,펀드,210000
기념일,기념일,크리스마스,25000000
기타,명품,명품가방,870000
기타,명품,명품귀걸이,740000
기타,명품,명품목걸이,2000000
기타,명품,명품반지,1300000
기타,명품,명품백팩,100000
기타,명품,명품벨트,100000
기타,명품,명품샌들,100000
기타,명품,명품스니커즈,100000
기타,명품,명품시계,2000000
기타,명품,명품신발,100000
기타,명품,명품에코백,100000
기타,명품,명품운동화,100000
기타,명품,명품지갑,160000
기타,명품,명품팔찌,1450000
기타,명품,명품패딩,460000
기타,명품,여성명품가방,130000
기타,패션잡화,가발,290000
기타,패션잡화,남자가발,130000
도서,도서,동화,260000
도서,도서,만화책,140000
도서,도서,산문,100000
도서,도서,소설,930000
도서,도서,시,760000
도서,도서,에세이,200000
도서,도서,전래동화,110000
도서,도서,책,1070000
도서,도서,초점책,110000
도서,도서,컬러링북,110000
생활/가정,건강용품,가정용좌욕기,100000
생활/가정,건강용품,거북목교정기,160000
생활/가정,건강용품,금연보조제,100000
생활/가정,건강용품,내성발톱교정기,170000
생활/가정,건강용품,동전파스,100000
생활/가정,건강용품,목견인기,350000
생활/가정,건강용품,목교정기,100000
생활/가정,건강용품,무릎보호대,1480000
생활/가정,건강용품,무지외반증교정기,230000
생활/가정,건강용품,발가락교정기,140000
생활/가정,건강용품,발목보호대,410000
생활/가정,건강용품,소음방지귀마개,100000
생활/가정,건강용품,손목보호대,690000
생활/가정,건강용품,수면안대,250000
생활/가정,건강용품,안대,180000
생활/가정,건강용품,어깨교정밴드,100000
생활/가정,건강용품,엘보보호대,100000
생활/가정,건강용품,온열안대,320000
