
서칭뷰 키워드그룹 : 최근낙찰가
조회일자:20260203

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,가구,모션데스크,400000
가구/인테리어,가구,사이드테이블,220000
가구/인테리어,가구,선반,730000
가구/인테리어,가구,소파,1330000
가구/인테리어,가구,식탁,1360000
가구/인테리어,가구,책상및책장,1570000
가구/인테리어,가구,침대및매트리스,3910000
가구/인테리어,인테리어,마루,210000
가구/인테리어,인테리어,베개,840000
가구/인테리어,인테리어,블라인드,3000000
가구/인테리어,인테리어,슬라이딩도어,250000
가구/인테리어,인테리어,어닝/파고라,200000
가구/인테리어,인테리어,인조잔디,200000
가구/인테리어,인테리어,인테리어,840000
가구/인테리어,인테리어,조명,540000
가구/인테리어,인테리어,커튼,780000
가구/인테리어,인테리어,토퍼,500000
가구/인테리어,인테리어,폴딩도어,200000
건설/부동산,건설사,건설사일반,410000
건설/부동산,주택,아파트,1370000
게임,게임,FPS,200000
게임,게임,RPG,600000
게임,게임,VR,200000
게임,게임,모바일게임,550000
게임,게임,온라인게임,790000
게임,게임기,게임기,200000
관공서/단체,단체,자선단체,760000
교육/출판,강의,고등인강,200000
교육/출판,교육기관,사이버대학교,660000
교육/출판,교육기관,학점은행제,2920000
교육/출판,도서/교재,학습지,200000
교육/출판,시험,공무원시험,1440000
교육/출판,시험,공인중개사,520000
교육/출판,시험,보육교사,330000
교육/출판,시험,사회복지사,1340000
교육/출판,시험,수능,540000
교육/출판,시험,주택관리사,310000
교육/출판,시험,청소년지도사,290000
교육/출판,시험,한국사,1890000
교육/출판,시험,한국어교원자격증,200000
교육/출판,외국어,어린이영어,200000
교육/출판,외국어,영어회화,460000
교육/출판,외국어,중국어,520000
교육/출판,외국어,화상영어,280000
금융,금융기관,증권사,4230000
금융,금융상품,간병치매보험,400000
금융,금융상품,다이렉트인보험,380000
금융,금융상품,다이렉트자동차보험,2910000
금융,금융상품,담보대출,2610000
금융,금융상품,보험일반,880000
금융,금융상품,신용대출,510000
금융,금융상품,실비보험,750000
금융,금융상품,아이보험,600000
금융,금융상품,암보험,4600000
금융,금융상품,여행자보험,1570000
금융,금융상품,연금보험/저축,3630000
금융,금융상품,오토바이운전자보험,200000
금융,금융상품,운전자보험,1700000
금융,금융상품,유병자보험,250000
금융,금융상품,자동차보험,5750000
금융,금융상품,종신/정기보험,200000
금융,금융상품,주택보험,400000
금융,금융상품,치아보험,800000
금융,금융상품,펫보험,400000
금융,금융서비스,가상화폐,26880000
금융,금융서비스,간편결제,200000
금융,금융서비스,자동차금융,860000
금융,금융서비스,재테크,270000
금융,금융서비스,핀테크,200000
