
신제품검색 키워드그룹 : 최근낙찰가
조회일자:20260526

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,주방가구,2인용식탁,230000
가구/인테리어,주방가구,4인식탁세트,100000
가구/인테리어,주방가구,4인용식탁,290000
가구/인테리어,주방가구,6인식탁세트,100000
가구/인테리어,주방가구,6인용식탁,340000
가구/인테리어,주방가구,렌지대,300000
가구/인테리어,주방가구,세라믹식탁,350000
가구/인테리어,주방가구,식탁,780000
가구/인테리어,주방가구,식탁세트,100000
가구/인테리어,주방가구,식탁의자,670000
가구/인테리어,주방가구,싱크볼,230000
가구/인테리어,주방가구,우드슬랩식탁,100000
가구/인테리어,주방가구,원목식탁,150000
가구/인테리어,주방가구,주방수납장,360000
가구/인테리어,주방가구,카페테이블,100000
가구/인테리어,침구,가을이불,100000
가구/인테리어,침구,거북목베개,130000
가구/인테리어,침구,겨울이불,100000
가구/인테리어,침구,경추베개,590000
가구/인테리어,침구,구스이불,110000
가구/인테리어,침구,극세사이불,100000
가구/인테리어,침구,극세사패드,100000
가구/인테리어,침구,낮잠이불,160000
가구/인테리어,침구,냉감이불,500000
가구/인테리어,침구,담요,310000
가구/인테리어,침구,라텍스베개,110000
가구/인테리어,침구,매트리스커버,260000
가구/인테리어,침구,메모리폼베개,110000
가구/인테리어,침구,메모리폼토퍼,100000
가구/인테리어,침구,모달이불,210000
가구/인테리어,침구,바디필로우,500000
가구/인테리어,침구,베개,2470000
가구/인테리어,침구,베개솜,100000
가구/인테리어,침구,베개커버,500000
가구/인테리어,침구,수면베개,100000
가구/인테리어,침구,알러지케어이불,100000
가구/인테리어,침구,여름매트,100000
가구/인테리어,침구,여름베개,100000
가구/인테리어,침구,여름이불,851000
가구/인테리어,침구,여름이불세트,180000
가구/인테리어,침구,여름차렵이불,100000
가구/인테리어,침구,여름침대패드,100000
가구/인테리어,침구,여름쿨매트,100000
가구/인테리어,침구,여름토퍼,100000
가구/인테리어,침구,이불,770000
가구/인테리어,침구,이불세트,220000
가구/인테리어,침구,이불커버,100000
가구/인테리어,침구,이불패드,100000
가구/인테리어,침구,일자목베개,160000
가구/인테리어,침구,접이식토퍼,100000
가구/인테리어,침구,차렵이불,340000
가구/인테리어,침구,침대쿨매트,100000
가구/인테리어,침구,침대패드,270000
가구/인테리어,침구,쿨매트,1600000
가구/인테리어,침구,쿨베개,100000
가구/인테리어,침구,토퍼,1290000
가구/인테리어,침실가구,2층침대,320000
가구/인테리어,침실가구,3단매트리스,190000
가구/인테리어,침실가구,라텍스매트리스,210000
가구/인테리어,침실가구,매트리스,1300000
가구/인테리어,침실가구,모션베드,320000
가구/인테리어,침실가구,바닥매트리스,120000
가구/인테리어,침실가구,벙커침대,330000
가구/인테리어,침실가구,붙박이장,530000
가구/인테리어,침실가구,서랍형침대,100000
가구/인테리어,침실가구,수납침대,190000
가구/인테리어,침실가구,수면매트,210000
가구/인테리어,침실가구,슈퍼싱글매트리스,470000
가구/인테리어,침실가구,슈퍼싱글침대,380000
가구/인테리어,침실가구,시스템옷장,170000
가구/인테리어,침실가구,싱글매트리스,190000
가구/인테리어,침실가구,싱글침대,380000
가구/인테리어,침실가구,어린이매트리스,100000
가구/인테리어,침실가구,옷장,690000
가구/인테리어,침실가구,원목침대,110000
가구/인테리어,침실가구,접이식매트리스,2750000
가구/인테리어,침실가구,침대,1260000
가구/인테리어,침실가구,침대매트리스,610000
가구/인테리어,침실가구,침대테이블,100000
가구/인테리어,침실가구,침대프레임,860000
가구/인테리어,침실가구,콘솔,150000
가구/인테리어,침실가구,퀸매트리스,141000
가구/인테리어,침실가구,퀸침대,300000
가구/인테리어,침실가구,키즈침대,100000
가구/인테리어,침실가구,탁상거울,100000
가구/인테리어,침실가구,패밀리침대,360000
가구/인테리어,침실가구,협탁,180000
가구/인테리어,침실가구,화장대,710000
가구/인테리어,침실가구,화장대거울,100000
가구/인테리어,침실가구,화장대의자,180000
게임,게임,FPS,100000
게임,게임,MMORPG,100000
게임,게임,PC게임,100000
게임,게임,RPG,130000
게임,게임,VR게임,100000
게임,게임,게임,830000
게임,게임,모바일RPG,100000
게임,게임,모바일게임,300000
게임,게임,온라인게임,100000
교육,교육기관,사이버대학교,5010000
금융,보장성보험,1인실입원비보험,100000
금융,보장성보험,간병인보험,44588000
금융,보장성보험,강아지보험,9000000
금융,보장성보험,고양이보험,2900000
금융,보장성보험,고지혈증보험,100000
금융,보장성보험,고혈압보험,100000
금융,보장성보험,뇌혈관질환보험,650000
금융,보장성보험,다이렉트자동차보험,11650000
금융,보장성보험,당뇨보험,110000
금융,보장성보험,법인자동차보험,280000
금융,보장성보험,상해보험,200000
금융,보장성보험,아파트화재보험,3600000
금융,보장성보험,암보험,90000000
금융,보장성보험,암보험비갱신형,38882000
금융,보장성보험,어린이보험,8586000
금융,보장성보험,어린이치아보험,1300000
금융,보장성보험,영업용자동차보험,370000
금융,보장성보험,영업용화물차보험,190000
금융,보장성보험,오토바이보험,10029000
금융,보장성보험,오토바이운전자보험,1750000
금융,보장성보험,운전자보험,46000000
금융,보장성보험,원데이자동차보험,5000000
금융,보장성보험,유병자보험,3200000
금융,보장성보험,일상생활배상책임보험,2772000
금융,보장성보험,임플란트보험,3500000
금융,보장성보험,자동차보험,70945000
금융,보장성보험,정기보험,1350000
금융,보장성보험,종신보험,820000
금융,보장성보험,주택화재보험,5718000
금융,보장성보험,치매보험,620000
금융,보장성보험,치아보험,98421000
금융,보장성보험,태아보험,3900000
금융,보장성보험,펫보험,23000000
금융,보장성보험,허혈성심장질환보험,600000
금융,보장성보험,홀인원보험,2500000
금융,보장성보험,화재보험,12786000
금융,보험일반,다이렉트건강보험,2100000
금융,보험일반,종합보험,7500000
금융,실손의료보험,4세대실손보험,420000
금융,실손의료보험,5세대실손보험,3600000
금융,실손의료보험,실비보험,12740000
금융,실손의료보험,실손보험,11500000
금융,실손의료보험,유병자실비보험,700000
금융,여행자보험,국내여행자보험,100000
금융,여행자보험,단기여행자보험,450000
금융,여행자보험,여행자보험,8500000
금융,여행자보험,해외여행자보험,2050000
금융,연금,개인연금,1120000
금융,연금,연금저축,1320000
금융,예치/저축상품,예금,1010000
