
신제품검색 키워드그룹 : 회차별 입찰 정보
조회일자:20260526

! 각 키워드그룹의 집행회차 별 입찰 스케줄 정보입니다.
! 조회 시점에 입찰기간 혹은 발표일에 해당하는 회차에 대해서만 조회가 가능합니다.
! 키워드 그룹별 세부키워드 리스트는 집행 회차별로 변경될 수 있으니 각 회차별 키워드셋을 참고해주시기 바랍니다.

! 기준조회수는 각 회차별 입찰 개시일 직전 30일 간의 모바일 조회수를 기반으로 산출하며 해당 기간의 7일 평균 조회수와 입찰이 열린 구좌수를 반영하여 계산됩니다.
! '기준조회수' = '직전 30일 조회수' x '(7일/30일)' / 'N구좌'
! 기준조회수는 참고 자료이며 실제 집행 기간 동안 키워드의 노출수를 보장하지는 않습니다. 

! 입찰 결과 발표는 발표일 오전 9시이며 일부 지연이 있을 수 있습니다.
! 모든 낙찰건은 결과 발표 당일 내에 캠페인 등록을 완료해야 합니다.

! 공실구좌는 조회 시점 기준의 공실구좌이며 매일 자정 업데이트됩니다.
! 정기 입찰 결과 발표 후 재입찰 기간 중에 공실 구좌가 발생한 경우에 한하여 재입찰 결과 발표를 진행합니다.

집행회차,집행기간,대분류,소분류,키워드그룹,기준조회수,최저입찰가,정기입찰기간,정기입찰발표,재입찰기간,재입찰발표,입찰가능여부,현재공실구좌
202623,20260601~20260607,가구/인테리어,거실가구,1인용리클라이너,2680,330000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,1인용쇼파,6247,750000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,3인용쇼파,3874,470000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,4인용쇼파,2552,310000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,TV다이,2203,270000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,가죽쇼파,2072,420000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,거실장,2526,310000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,거실테이블,3250,390000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,리클라이너,2572,310000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,리클라이너쇼파,4136,500000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,모듈쇼파,1045,130000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,모션쇼파,725,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,거실가구,사이드테이블,2354,290000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,서재가구,3단서랍장,1314,160000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,서재가구,게이밍의자,2735,330000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,서재가구,모션데스크,4512,550000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,서재가구,발받침대,1427,180000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,서재가구,사무용의자,1729,210000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,수납가구,로봇청소기수납장,1061,130000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,LED벽시계,690,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,LED시계,721,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,가림막커튼,1724,210000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,거실러그,1088,140000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,거실매트,2201,270000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,거실커튼,2307,330000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,규조토발매트,1785,220000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,등받이쿠션,1791,220000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,러그,3523,430000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,롤매트,923,120000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,롤스크린,728,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,무소음벽시계,647,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,발매트,2100,260000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,방석,1929,240000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,방풍커튼,117,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,방한커튼,139,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,벽시계,4290,520000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어소품,블라인드,18265,2200000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,인테리어자재,ABS도어,528,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,조명,LED등,951,120000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,조명,LED방등,576,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,조명,LED전구,1132,140000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,조명,무드등,2308,280000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,조명,무선센서등,399,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,조명,무선스탠드,283,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,주방가구,2인용식탁,1858,230000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,주방가구,4인식탁세트,853,110000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,주방가구,4인용식탁,2331,280000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,주방가구,6인식탁세트,696,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,주방가구,6인용식탁,2848,350000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,주방가구,렌지대,2516,310000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,가을이불,37,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,거북목베개,1116,140000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,겨울이불,254,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,경추베개,4993,600000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,구스이불,672,110000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,극세사이불,534,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,극세사패드,68,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,낮잠이불,1256,160000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,냉감이불,1874,250000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,담요,2637,320000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,라텍스베개,857,120000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,매트리스커버,2144,260000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,메모리폼베개,879,110000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,메모리폼토퍼,398,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,모달이불,1746,210000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,바디필로우,3966,480000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,베개,20813,2500000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,베개솜,816,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침구,베개커버,4163,500000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,2층침대,2636,320000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,3단매트리스,1160,190000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,라텍스매트리스,1556,210000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,매트리스,8720,1310000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,모션베드,2604,320000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,바닥매트리스,676,110000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,벙커침대,2707,330000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,가구/인테리어,침실가구,붙박이장,3754,530000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,FPS,696,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,MMORPG,500,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,PC게임,653,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,RPG,1041,130000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,VR게임,398,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,게임,7103,860000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
202623,20260601~20260607,게임,게임,모바일RPG,268,100000,20260512~20260518,20260519,20260520~20260525,20260526,입찰기간종료,0
